"Nr.p.k.","Finansējuma saņēmējs","Finansējuma saņēmēja juridiskā adrese","Projekta nosaukums","Īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas aktivitāte","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas","Attiecināmais SF finansējums","Attiecināmais VB finansējums","Projekta īstenošanas laiks (mēn.)","Mājas lapas adrese"
1,"Koka māju fabrika","""Koka māju fabrika"", Madlienas pagasts, Ogres novads, LV-5045","Divpadsmit energoefektīvo ēku (ar enerģijas patēriņu ne lielāku par 15 kWh/kv.m. gadā) reģistrācija Kopienas dizainparauga reģistrā","Madlienas pagasts",31/03/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts rūpnieciskā īpašuma tiesību nostiprināšanai","Divpadsmit energoefektīvo ēku (ar enerījas patēriņu ne lielāku par 15 kWh/kv.m. gadā) reģistrācija Kopienas dizainparauga reģistrā.","29,280.00","9,930.31","1,752.41",13,"www.savrupmajas.lv"
2,"3L","Jāņa Endzelīna iela 5-46, Rīga, LV-1029","Modulāras pašnesošu metāla paneļu fasādes sistēmas SIMPLEX patentēšana ārpus ES - Krievijā, Baltkrievijā un Ukrainā","Rīga",29/05/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts rūpnieciskā īpašuma tiesību nostiprināšanai","Projekts paredz Modulāras pašnesošu metāla paneļu fasādes sistēmas SIMPLEX patentēšanu ārpus ES robežām - Krievijā, Ukrainā un Baltkrievijā.","3,400.00","1,300.49",229.51,18,"www.3l.lv"
3,"Energoteh","Maskavas iela 22, Rēzekne, LV-4604","Kabeļu komutācijas sadalņu īpašumtiesību nostiprināšana","Rēzekne",29/05/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts rūpnieciskā īpašuma tiesību nostiprināšanai","Projekta ietvaros tiek modelēti dizainparaugu 3D skati, sagatavota visa nepieciešamā dokumentācija to reģistrācijai LR Patentu valdē, kā arī saņemtas dizainparugu reģistrācijas apliecības, kurs nostiprinā uzņemējsabiedrības īpašumtiesības uz izgudrojumu.","44,127.00","16,878.45","2,978.55",12,"-"
4,"Energoteh","Maskavas iela 22, Rēzekne, LV-4604","Kabeļu un komutācijas uzskaites sadalnes īpašumtiesību nostiprināšana","Rēzekne",29/05/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts rūpnieciskā īpašuma tiesību nostiprināšanai","Projekta ietvaros tiek modelēti dizainparaugu 3d skati, sagatavota visa nepieciešamā dokumentācija to reģistrācijai LR Patentu valdē, kā arī saņemtas dizainparaugu reģistrācijas apliecības, kuras nostiprina uzņēmējsabiedrības īpašumtiesības uz izgudrojumu","39,224.00","15,003.18","2,647.62",12,"-"
5,"Energoteh","Maskavas iela 22, Rēzekne, LV-4604","Spēka sadales sadalņu īpašumtiesību nostiprināšana","Rēzekne",29/05/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts rūpnieciskā īpašuma tiesību nostiprināšanai","Projekta ietvaros tiek modelēti dizainparugu 3D  skati, sagatavota visa nepieciešamā dokumentācija to reģistrāciaji LR Patetnu valdē, kā arī saņemtas dizainparaugu reģistrācijas paliecības, kuras nosiprina uzņēmējsabiedrības īpašumtiesības uz izgudrojumu","39,224.00","15,003.18","2,647.62",12,"-"
6,"NCare","Krišjāņa Barona iela 119, Rīga, LV-1012","Rūpnieciskā īpašuma tiesību nostiprināšana 14 dizainparaugiem no profesionālo apģērbu kolekcijas ""Profi stils""","Rīga",06/08/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts rūpnieciskā īpašuma tiesību nostiprināšanai","Visas nepieciešamās dokumentācijas (tajā skaitā arī tehniskās) 14 dizainparaugiem sagatavošana rūpnieciskā īpašuma tiesību nostiprināšanai Latvijas teritorijā un ES valstīs. Projekta īstenošanas laikā veicamās darbības: tehniskās dokumentācijas sagatavoša","43,332.00","16,574.15","2,924.85",7,"-"
7,"NCare","Krišjāņa Barona iela 119, Rīga, LV-1012","Rūpnieciskā īpašuma tiesību nostiprināšana 15 dizainparaugiem no profesionālo apģērbu kolekcijas ""Klasiskais stils skolai""","Rīga",28/08/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts rūpnieciskā īpašuma tiesību nostiprināšanai","Visas nepieciešmās dokumentācijas ( tajā skaitā arī tehniskās) 15 dizainparaugiem sagatavošana rūpnieciskā īpašuma tiesību nostiprināšanai Latvija teritorijā un ES valstīs. Projekta īstenošanas laikā veicamās darbības: tehniskās dokumentācijas sagatavošan","43,810.00","16,756.90","2,957.10",7,"-"
8,"Teko Plus","Stirnu iela 21-80, Rīga, LV-1035","Izgudrojuma ""Vienreizējas lietošanas zarnu intubators ar drenāžu un irigatoru"" rūpniecisko īpašuma tiesību nostiprināšana","Rīga",30/06/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts rūpnieciskā īpašuma tiesību nostiprināšanai","Projekts plāno izgudrojuma ''Vienreizējas lietošanas zarnu intubators ar drenāžu un irigatoru'' rūpnieciskā īpašuma tiesību nostiprināšanu 8 patentu valdēs: ASV, Austrālijas, Francijas, Kanādas, Ķīnas, Lielbritānijas, Vācijas, Indijas.
 Projekts iekļauj s","19,880.00","7,604.10","1,341.90",36,"www.coloncancer.lv"
9,"Teko Plus","Stirnu iela 21-80, Rīga, LV-1035","Izgudrojuma ""Paškustīgais kolonoskops resnās zarnas vēža novērošanai"" rūpniecisko īpašuma tiesību nostiprināšana","Rīga",02/10/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts rūpnieciskā īpašuma tiesību nostiprināšanai","Projekts plāno rūpniecisko īpašuma tiesību nostiprināšanu izgudrojumam ""Endoskops ar vienreizējas lietošanas patronām endoskopiskās caurulītes invaginācijai"", kura ir ""Paškustoša kolonoskopa resnās zarnas vēža novērošanai"" konstruktīva un juridiska bāze. Izgudrojuma pirmā jurisdikcija - LR Patentu Valde.
Patenti izgudrojumam jau ir saņemti Austrālijā, EAPO, Izraēlā, Kanādā, Ķīnā, Ukrainā. Šis projekts pabeigs tiesību saņemšanu citās jurisdikcijās: EPO (Eiropas Patentu valdē); USPTO ( ASV Patentu valdē); JPO (Japānas patentu valdē).
Projekta ietvaros tiks veiktas sekojošas aktivitātes:
1. patentu valžu un patentpilnvaroto nodevas apmaksa;
2. sarakste ar patentu valžu ekspertiem un ar patentpilnvarotiem pieteikumu izskatīšanas gaitā;
3. saņemto un nosūtīto dokumentu, normatīvās dokumentācijas, nacionālo patentu valžu norādes tulkošana;
4. nacionālo un starptautisko patentu likumu, normatīvās dokumentācijas izstudēšana.
Kā rezultāts būs EPO, USPTO, JPO patenti, tomēr, kā rāda prakse, pieteikumu un apelāciju izskatīšanas termiņi var pārsniegt projekta ilgumu.
","44,424.00","16,973.27","2,995.31",36,"www.coloncancer.lv"
10,"Enerģijas centrs","Domes iela 3, Līvāni, Līvānu novads, LV-5316","Paņēmiena tvaika turbīnas termodinamiskā cikla pilnveidošanai patentēšana","Līvāni",04/01/2010,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts rūpnieciskā īpašuma tiesību nostiprināšanai","Projekta ietvaros plānots patentēt jaunu tehnoloģiju elektroenerģijas ražošanai no zemes siltuma avotiem. Projekta rezultāts – starptautisks patents.","14,270.00","5,458.26",963.24,29,"-"
11,"HYGEN","Peldu iela 7, Jelgava, LV-3002","Dabas gāzes saspiešanas paņēmiena un tās uzpildīšanai transportlīdzeklī paredzētās iekārtas rūpnieciskā īpašuma tiesību nostiprināšana","Jelgava",02/03/2010,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts rūpnieciskā īpašuma tiesību nostiprināšanai","Projekta gaitā tiks Iesniegts Patent Cooperation Treaty (PCT) pieteikuma nacionālās un reģionālās fāzes 18 patentu pieteikumi, kuri attiecas uz 47 valstīm. Projekta mērķis ir nostiprināt rūpnieciskās īpašuma tiesības Eiropas Savienības valstīs un valstīs ārpus Eiropas Savienības.","44,408.42","15,095.08","2,663.84",24,"www.hygen.org"
